level1,level2,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
리테일매출,대리상,,,,,,,,,,,,
리테일매출,직영,,,,,,,,,,,,
Tag매출,대리상(의류),,,,,,,,,,,,
Tag매출,대리상(ACC),,,,,,,,,,,,
Tag매출,직영,,,,342,0,0,0,0,0,0,0,0
실판매출,대리상(의류),,,,,,,,,,,,
실판매출,대리상(ACC),,,,,,,,,,,,
실판매출,직영,,,,151.3274336,0,0,0,0,0,0,0,0
매출원가,,,,,109.7075592,0,0,0,0,0,0,0,0
평가감,,,,,-109.7075592,0,0,0,0,0,0,0,0
급여(매장),,,,,17.48785642,0,0,0,0,0,0,0,0
복리후생비(매장),,,,,19.39883111,0,0,0,0,0,0,0,0
플랫폼수수료,,,,,0,0,0,0,0,0,0,0,0
TP수수료,,,,,0,0,0,0,0,0,0,0,0
직접광고비,,,,,0,0,0,0,0,0,0,0,0
대리상지원금,,,,,0,0,0,0,0,0,0,0,0
물류비,,,,,67.41344897,67.36140338,67.30388588,67.30388588,67.30388588,67.30388588,67.30388588,67.30388588,67.30388588
매장임차료,,,,,462.1020947,0,0,0,0,0,0,0,0
감가상각비,,,,,33.46066667,2.334956667,2.334956667,2.334956667,2.334956667,2.334956667,2.334956667,2.334956667,2.334956667
기타(직접비),,,,,87.5307592,0,5,0,0,0,0,0,0
급여(사무실),,,,,,,,,,,,,
복리후생비(사무실),,,,,,,,,,,,,
광고비,,,,,,,,,,,,,
수주회,,,,,,,,,,,,,
지급수수료,,,,,,,,,,,,,
임차료,,,,,,,,,,,,,
감가상각비(영업비),,,,,,,,,,,,,
세금과공과,,,,,,,,,,,,,
기타(영업비),,,,,,,,,,,,,
,,,,,,,,,,,,,
,영업이익,,,,,,,,,,,,
