level1,level2,MLB,MLB KIDS,DISCOVERY
Tag매출,대리상(의류),"551,097.697","22,069.530","2,643.260"
Tag매출,대리상(ACC),"702,605.968","12,468.002",-247.574
Tag매출,직영,"163,955.844","19,237.652","4,070.012"
실판매출,대리상(의류),"204,832.773","8,202.834","1,195.714"
실판매출,대리상(ACC),"292,729.992","4,634.125",-98.592
실판매출,직영,"117,493.615","12,845.632","3,084.745"
매출원가,,"431,653.287","17,631.826","2,229.765"
평가감,,"16,783.698","1,238.791","5,789.303"
급여(매장),,"3,307.798",789.429,185.102
복리후생비(매장),,"1,864.556",446.662,91.550
플랫폼수수료,,"6,180.978",496.058,148.703
TP수수료,,"6,136.392",429.834,402.787
직접광고비,,"9,090.189",911.737,507.997
대리상지원금,,"18,919.021","1,414.679",229.553
물류비,,"9,784.614",662.559,411.642
매장임차료,,"10,853.979","2,202.946",636.271
감가상각비,,627.423,185.261,82.617
기타(직접비),,941.990,196.553,106.653
급여(사무실),,"6,907.790",677.100,"1,211.325"
복리후생비(사무실),,"2,316.460",208.120,350.571
광고비,,"15,572.940",411.170,"2,604.835"
수주회,,"7,058.870",452.000,0.000
지급수수료,,"1,102.650",148.000,66.878
임차료,,"1,910.920", - ,0.000
감가상각비(영업비),,379.015,3.140,6.032
세금과공과,,390.769, - ,0.000
기타(영업비),,269.814,9.120,47.355
,,,,
,,"63,003.23","-2,832.40","-10,927.07"
