level1,level2,MLB,MLB KIDS,DISCOVERY,DUVETICA,SUPRA
리테일매출,대리상,556650.6515,17328.59163,2935.387,,
리테일매출,직영,86159.87422,7786.240174,1507.646768,2554.677151,513.1561424
Tag매출,대리상(의류),527532.365,20605.736,-321.21,,45835.727
Tag매출,대리상(ACC),293746.113,5596.617,-1550.007,,15515.152
Tag매출,직영,111825.267,11089.9,1703.816,19147.81,5104.951
실판매출,대리상(의류),199081.714,7845.28335,-212.63849,,2705.24137
실판매출,대리상(ACC),122177.5882,2080.15851,-617.25832,,823.81333
실판매출,직영,76247.6763,6890.47803,1334.20068,2260.77624,454.12048
매출원가,,280785.6952,11544.09028,-160.48128,6502.66838,20885.18742
평가감,,29343.12391,996.0587273,5596.717504,-6505.995694,-20885.18741
급여(매장),,"1,899.18",412.1607,169.36522,26.09565,0
복리후생비(매장),,1591.66906,381.15454,87.0505,5.55053,0
플랫폼수수료,,4750.72169,394.90981,60.05193,13.26644,0
TP수수료,,4761.75875,257.2231,177.38049,190.65655,0
직접광고비,,7905.90201,638.12125,268.68774,1.77414,0
대리상지원금,,11506.52846,1160.77704,26.40832,,0
물류비,,8714.98337,666.08834,378.231,58.42626,227.93948
매장임차료,,7704.31331,1687.8834,641.64433,469.80772,0
감가상각비,,622.85844,170.76852,82.61681,33.46066,0
기타(직접비),,3786.0538,150.38278,70.46546,27.32553,0
급여(사무실),,3998.0119,36.38444,469.67498,,
복리후생비(사무실),,2106.0617,204.8754,370.73277,,
광고비,,11930.73926,1913.12263,2995.03355,,
수주회,,0,0,300,,
지급수수료,,1709.84746,36.9,89.25,,
임차료,,1916.78912,0,0,,
감가상각비(영업비),,375.92679,3.12474,5.90074,,
세금과공과,,1820.5205,0,0,,
기타(영업비),,301.15855,23.17615,20.58188,,
,,,,,,
,영업이익,9975.135215,-3861.281957,-11145.00807,1437.740074,3755.23569
