level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(사무실),,,6997.847566,6979.110256,6609.509881,6610.163111,6585.187591,6234.19587,6220.4628,6215.48128,6279.40237
복리후생비(사무실),,,2356.073872,2568.016525,2017.124276,2521.865174,2217.203305,2297.508573,2672.644463,2077.349773,2607.449773
광고비,,,12613.90702,12621.32752,10921.73085,11441.65192,17623.82683,15390.34466,12129.27733,14525.11616,9527.682994
수주회,,,200,0,0,0,6000,0,200,0,0
지급수수료,,,5263.572832,2433.579895,2223.612325,1633.568888,1648.301647,2403.123633,1167.222298,1750.069417,2101.598917
임차료,,,1912.463541,1912.463541,1912.463541,1912.463541,1912.463541,1912.463541,1912.463541,1912.463541,1912.463541
감가상각비(영업비),,,376.2785515,371.1707496,369.4030479,367.225074,362.427132,353.8462883,356.0921833,355.2852021,353.1908285
세금과공과,,,160.7481021,431.3198228,140.5921461,2451.028658,752.4633825,686.3707658,2030.802774,2272.611823,4513.171844
기타(영업비),,,266.22239,250.4248067,347.0638067,269.4763067,318.6412233,336.3366233,337.80579,320.45829,284.8127033
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
