level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(매장),,,0.046191758,0.061829439,0.06218346,0.042131344,0.035601546,0.035917209,0.036491816,0.038821886,0.030444333
복리후생비(매장),,,0.031500334,0.030485912,0.042918391,0.048379195,0.026565477,0.02576091,0.02120059,0.031506599,0.019959632
플랫폼수수료,,,0.03017448,0.026418764,0.045942111,0.016897557,0.016850739,0.022872689,0.027163757,0.045108401,0.019368075
TP수수료,,,0.022048551,0.018523514,0.041293143,0.012338368,0.010886982,0.014296314,0.020001632,0.043814321,0.015243642
직접광고비,,,0.037779606,0.061096121,0.051370053,0.019750768,0.024203498,0.027208486,0.06440908,0.061943442,0.028990224
대리상지원금,,,739997.1559,300728.8942,381824.2113,743656.796,1031148.13,1185941.307,1098910.774,615943.7281,1258468.175
물류비,,,0.036456915,0.036854289,0.038806884,0.031197045,0.026975827,0.029080073,0.037474833,0.034221067,0.033115566
매장임차료,,,0.121122244,0.13652884,0.177138085,0.147023879,0.106308276,0.10106678,0.072959283,0.12234773,0.113014539
감가상각비,,,128082.3017,169337.3116,159413.6046,148023.7522,179972.6878,175809.2445,174452.0822,174329.782,172982.2675
기타(직접비),,,334302.205,258133.4161,217948.7433,149012.5123,274396.5643,172535.7609,270270.1046,190911.5468,307311.134
,,,,,,,,,,,
,,,,,,,,,,,
,,,웬디 직접비,,,,,,,,
,,,,,,,,,,,
,,대리상지원금,739.9971559,300.7288942,381.8242113,743.656796,1031.14813,1185.941307,1098.910774,615.9437281,1258.468175
,,감가상각비,128.0823017,169.3373116,159.4136046,148.0237522,179.9726878,175.8092445,174.4520822,174.329782,172.9822675
,,기타(직접비),334.302205,258.1334161,217.9487433,149.0125123,274.3965643,172.5357609,270.2701046,190.9115468,307.311134
,,,,,,,,,,,
,,Store Payroll,0.046191758,0.061829439,0.06218346,0.042131344,0.035601546,0.035917209,0.036491816,0.038821886,0.030444333
,,Store Staff Benefits,0.031500334,0.030485912,0.042918391,0.048379195,0.026565477,0.02576091,0.02120059,0.031506599,0.019959632
,,Platform Commission,0.03017448,0.026418764,0.045942111,0.016897557,0.016850739,0.022872689,0.027163757,0.045108401,0.019368075
,,T P commission,0.022048551,0.018523514,0.041293143,0.012338368,0.010886982,0.014296314,0.020001632,0.043814321,0.015243642
,,Service Fee,0.013030992,0.010982105,0.013333369,0.005477675,0.00865603,0.004447993,0.005024369,0.006471418,0.009273989
,,Advertisement-Direct,0.037779606,0.061096121,0.051370053,0.019750768,0.024203498,0.027208486,0.06440908,0.061943442,0.028990224
,,Franchiser Rebate,0.050186023,0.023083993,0.041770349,0.067797175,0.063543453,0.070869038,0.04355049,0.045016808,0.05826757
,,Logistic Expense,0.036456915,0.036854289,0.038806884,0.031197045,0.026975827,0.029080073,0.037474833,0.034221067,0.033115566
,,Package,0.002135149,0.003246432,0.002573697,0.001493961,0.00155441,0.001499294,0.002770189,0.00217975,0.001573617
,,Store Rental,0.121122244,0.13652884,0.177138085,0.147023879,0.106308276,0.10106678,0.072959283,0.12234773,0.113014539
,,Store D&A,0.008686441,0.012998356,0.017439339,0.013494924,0.011090633,0.010505943,0.00691364,0.012741051,0.008009147
,,VMD,0.006039054,0.004002274,0.005703949,0.004753463,0.005441735,0.003143883,0.002107876,0.003810699,0.002436414
,,Others,0.001466916,0.001583547,0.002231881,0.001859968,0.001257234,0.001219157,0.000808532,0.001491077,0.000944607
