level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(매장),,,0.008028626,0.01232409,0.019156556,0.007458505,0.005444802,0.006501267,0.008622693,0.009388729,0.006891446
복리후생비(매장),,,0.004931678,0.005830923,0.011090031,0.00666423,0.004221492,0.004292244,0.005233175,0.007071975,0.004890844
플랫폼수수료,,,0.011702078,0.019237685,0.027327618,0.009636132,0.008101005,0.009711383,0.016015159,0.03075021,0.015257113
TP수수료,,,0.013818188,0.022667159,0.031891614,0.011034922,0.007668427,0.01128415,0.016085306,0.03816262,0.016012247
직접광고비,,,0.011819283,0.049213013,0.05454404,0.012554027,0.011820435,0.017820816,0.054089776,0.049782637,0.022624478
대리상지원금,,,10020070.65,5757673.037,2701226.023,8552391.408,12547835.99,12059274.51,9497891.287,5777275.532,10129779.77
물류비,,,0.017702231,0.023587876,0.024119617,0.015251375,0.014168306,0.01503781,0.024986609,0.025088336,0.017970331
매장임차료,,,0.02513908,0.036177995,0.059885749,0.027805052,0.020146099,0.021397085,0.025254381,0.039785233,0.030599213
감가상각비,,,661673.9546,640265.7158,717845.1176,750678.2565,737059.3338,736931.3753,795848.1219,792903.3119,791601.1286
기타(직접비),,,1374672.994,1542924.315,1885699.808,906670.0033,1271512.068,1026680.784,2295991.332,1197786.612,1381534.761
,,,,,,,,,,,
,,,,,,,,,,,
,,,웬디 원본 직접비율,,,,,,,,
,,,,,,,,,,,
,,Store Payroll,0.008028626,0.01232409,0.019156556,0.007458505,0.005444802,0.006501267,0.008622693,0.009388729,0.006891446
,,Store Staff Benefits,0.004931678,0.005830923,0.011090031,0.00666423,0.004221492,0.004292244,0.005233175,0.007071975,0.004890844
,,Platform Commission,0.011702078,0.019237685,0.027327618,0.009636132,0.008101005,0.009711383,0.016015159,0.03075021,0.015257113
,,T P commission,0.013818188,0.022667159,0.031891614,0.011034922,0.007668427,0.01128415,0.016085306,0.03816262,0.016012247
,,Service Fee,0.002119181,0.002850949,0.010585162,0.00190629,0.001083157,0.001205514,0.002408145,0.001977108,0.001670024
,,Advertisement-Direct,0.011819283,0.049213013,0.05454404,0.012554027,0.011820435,0.017820816,0.054089776,0.049782637,0.022624478
,,Franchiser Rebate,0.026947677,0.021024571,0.018946137,0.027903295,0.029143279,0.028477979,0.021205144,0.020835816,0.025265653
,,Logistic Expense,0.017702231,0.023587876,0.024119617,0.015251375,0.014168306,0.01503781,0.024986609,0.025088336,0.017970331
,,Package,0.000967823,0.002620055,0.001954214,0.000865824,0.00145466,0.000931993,0.002138097,0.002176164,0.00146227
,,Store Rental,0.02513908,0.036177995,0.059885749,0.027805052,0.020146099,0.021397085,0.025254381,0.039785233,0.030599213
,,Store D&A,0.001779486,0.002337978,0.005034896,0.002449186,0.001711875,0.001740264,0.001776823,0.002859616,0.001974408
,,VMD,0.000484338,0,0.000400794,4.66E-05,0.000313163,0.000183086,0.000476716,0,0.000198334
,,Others,0.000125661,0.000163098,0.000285945,0.000139407,0.000102201,0.000103914,0.00010311,0.000166561,0.00011519
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,대리상지원금,5234.028712,2969.442225,1334.050109,4439.867958,6586.66176,6278.114924,4945.816648,2969.258411,5334.385239
,,대리상지원금,4786.041936,2788.230812,1367.175913,4112.523451,5961.174227,5781.159586,4552.074639,2808.017121,4795.394535
,,감가상각비,661.6739546,640.2657158,717.8451176,750.6782565,737.0593338,736.9313753,795.8481219,792.9033119,791.6011286
,,기타(직접비),1374.672994,1542.924315,1885.699808,906.6700033,1271.512068,1026.680784,2295.991332,1197.786612,1381.534761
