계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,,3월계획,2026년연간계획(N-1)
현금 및 현금성자산,"186,366,258","97,643,054","160,280,200","112,379,660","112,502,837","126,769,044","128,836,726","139,072,771","145,580,082","133,200,328","131,837,405","129,682,982",,"118,194,310","134,855,375"
직영AR,"84,280,019","81,470,967","43,707,438","104,834,989","95,478,243","2,724,624","11,043,957","-17,325,524","-29,668,068","74,562,434","6,779,941","17,526,357",,"43,785,700","52,193,080"
대리상AR,"801,026,483","786,192,212","757,128,784","518,577,940","285,595,857","138,803,499","280,974,021","389,984,370","603,694,406","685,580,528","387,671,430","330,549,570",,"776,843,052","330,549,570"
선급금(본사),"150,000,000",,,,"350,000,000","350,000,000","350,000,000","150,000,000",,,"350,000,000","350,000,000",,,"350,000,000"
선급금(기타),"53,239,596","63,684,516","60,953,292","23,238,176","29,867,386","24,897,362","22,569,904","23,131,778","25,152,511","41,536,927","29,744,904","27,608,679",,"59,994,106","27,608,679"
기타 유동자산,"63,096,099","63,859,895","62,430,886","58,503,062","54,819,939","58,412,986","57,884,303","55,450,926","52,648,053","48,142,232","44,408,648","41,171,503",,"58,427,625","41,200,696"
사용권자산,"155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388","155,377,388",,"155,377,388","155,377,388"
이연법인세자산,"108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788","108,410,788",,"108,410,788","108,410,788"
"유,무형자산","37,503,703","36,173,942","35,846,809","34,481,789","35,563,638","35,350,472","35,137,306","34,924,140","34,710,974","34,497,809","34,284,643","34,071,477",,"35,960,776","34,042,284"
MLB,"1,232,241,536","1,146,171,325","879,967,533","670,318,815","571,551,443","717,780,458","730,728,898","612,625,743","687,789,542","432,316,001","486,149,988","796,824,154",,"942,164,471","814,343,307"
KIDS,"61,922,687","74,182,408","65,426,152","56,411,055","48,726,881","49,082,755","52,002,059","57,598,807","65,573,928","54,958,018","53,515,141","52,399,680",,60000874,52065758
DISCOVERY,"176,668,786","189,384,424","201,156,756","212,293,555","178,194,997","131,122,145","138,548,141","141,221,534","148,672,237","137,211,093","132,448,772","131,160,077",,105318817,106140104
,,,,,,,,,,,,,,,
