계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,"1,417,659,509","874,744,851","933,103,745","864,403,858","568,608,285","291,032,288","706,324,266","1,018,831,020","1,005,792,859","983,810,440","595,231,558","913,623,809"
KIDS,"53,775,184","34,952,494","37,292,253","30,272,078","23,896,208","18,064,004","24,050,945","34,883,550","36,938,945","50,980,398","27,512,772","44,599,864"
DISCOVERY,"6,465,698","4,615,484","-167,401","-10,005,947","1,284,389","3,004,155","22,883,329","30,646,263","18,821,812","63,856,471","23,186,707","48,509,124"
DUVETICA,"17,880,780","17,913,420","19,147,810","342,000",0,0,0,0,0,0,0,0
SUPRA,"2,630,168","7,714,705","66,455,830",0,"33,962,070",0,0,"28,000,000",0,"20,000,000",0,"31,665,570"
실판매출,"648,125,437","401,843,624","421,071,154","383,575,673","290,400,864","154,024,379","327,264,220","462,816,210","449,281,850","504,808,163","302,243,243","447,193,412"
매출원가,"458,765,420","289,010,767","319,557,160","248,886,205","191,777,155","95,388,809","226,137,253","336,355,140","322,529,847","354,008,573","198,400,478","321,253,405"
평가감,"16,561,250","15,438,916","-7,197,474","16,471,545","-5,174,581","5,142,702","-10,322,539","-18,128,769","-12,621,726","-24,928,727","-12,920,689","-21,157,402"
급여(매장),"4,311,613","5,684,024","2,506,799","3,818,541","4,327,048","3,505,208","2,924,293","3,098,139","3,555,889","5,021,473","3,310,573","3,675,313"
복리후생비(매장),"2,408,719","2,053,412","2,065,425","2,390,248","2,060,082","2,067,573","2,694,599","2,351,998","2,351,998","3,003,323","2,495,296","2,550,061"
플랫폼수수료,"6,934,437","4,103,946","5,218,950","4,910,078","5,702,333","4,451,113","3,196,252","3,940,486","4,737,670","8,351,373","9,827,643","7,272,390"
TP수수료,"7,293,513","5,914,097","5,387,019","5,800,616","6,754,032","5,296,749","3,778,522","3,942,047","5,530,777","8,401,216","12,310,246","7,468,619"
직접광고비,"10,608,368","709,519","8,814,485","5,151,989","14,688,392","8,609,133","4,197,408","6,390,363","8,608,218","28,514,908","15,343,577","10,878,552"
대리상지원금,"20,563,253","11,599,220","12,693,714","9,704,662","5,907,420","3,062,638","11,082,039","15,724,378","14,445,536","14,701,641","7,792,897","14,510,671"
물류비,"11,103,083","7,429,930","10,045,668","7,569,513","7,183,441","4,062,767","5,577,115","7,209,626","7,359,899","13,918,695","8,122,691","9,256,759"
매장임차료,"14,150,212","14,899,525","10,503,649","12,118,334","12,219,362","10,986,742","10,964,330","11,228,519","11,581,448","13,981,917","13,540,897","15,647,420"
감가상각비,"928,762","926,884","909,704","886,343","875,064","978,632","1,000,075","1,018,405","1,014,114","1,071,673","1,068,606","1,108,457"
기타(직접비),"1,248,068","1,358,946","4,034,228","1,957,618","1,851,352","2,372,614","1,168,529","1,604,872","1,384,476","2,768,742","1,638,816","1,945,578"
급여(사무실),"8,799,608","14,844,434","4,504,071","8,934,163","8,913,667","8,665,414","8,663,495","8,642,603","8,341,896","8,301,646","8,295,711","8,362,052"
복리후생비(사무실),"2,875,887","4,380,741","2,681,670","2,927,208","3,114,287","2,603,625","3,172,095","2,837,172","2,930,103","3,309,759","2,698,064","3,254,164"
광고비,"18,588,946","18,449,887","16,838,895","18,434,457","17,132,504","13,484,237","13,986,830","22,120,285","19,940,303","20,140,544","20,396,688","13,020,280"
수주회,"7,510,868",0,"300,000","260,000",0,0,"300,000","6,000,000","60,000","900,000",0,0
지급수수료,"1,317,528","2,108,057","1,835,997","5,441,298","2,706,425","2,429,737","1,786,206","1,740,318","2,590,760","1,252,139","1,909,206","2,147,116"
임차료,"1,910,923","1,913,434","1,916,789","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464"
감가상각비(영업비),"388,199","386,746","384,952","379,596","374,057","372,073","369,895","364,673","355,445","357,691","356,884","354,790"
세금과공과,"390,769","203,668","1,820,521","160,748","431,320","140,592","2,451,029","752,463","686,371","2,030,803","2,272,612","4,513,172"
기타(영업비),"326,307","256,358","344,917","415,121","503,957","459,416","439,962","390,609","621,631","431,622","425,476","385,109"
