계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,"6,465,698","4,615,484","-167,401","-10,005,947","1,284,389","3,004,155","22,883,329","30,646,263","18,821,812","63,856,471","23,186,707","48,509,124"
실판매출,"4,181,867","2,269,310","504,304","-3,155,042","1,565,217","2,309,370","9,794,248","14,421,377","9,087,957","30,519,622","11,284,534","22,843,006"
매출원가,"2,229,765","1,642,124","-160,481","-3,393,650","475,383","869,339","6,929,645","9,350,720","6,013,309","20,645,916","8,486,652","15,341,721"
평가감,"5,789,303","5,624,743","5,492,699","8,895,459","4,788,025","-3,073,587","-427,442","-769,169","-1,439,415","-2,198,597","-1,977,656","-2,114,395"
급여(매장),"185,102","201,900","169,365","134,633","146,552","205,561","176,120","176,120","201,817","238,527","176,120","254,781"
복리후생비(매장),"91,550","83,272","87,050","72,607","66,100","94,104","121,341","103,316","103,316","124,402","103,316","158,081"
플랫폼수수료,"148,703","65,682","60,052","113,919","89,834","134,947","57,420","179,099","242,534","492,679","684,145","737,029"
TP수수료,"402,787","281,601","177,380","337,431","305,213","372,372","260,969","463,686","513,157","691,824","1,129,170","719,581"
직접광고비,"507,997","224,632","268,688","200,110","415,252","362,997","132,941","908,234","606,508","2,662,586","692,495","1,181,567"
대리상지원금,"229,553","243,589","26,408","-1,055,406","-150,982","-20,412","1,785,991","2,145,394","1,200,320","4,104,839","1,399,678","3,122,423"
물류비,"411,642","284,003","378,231","296,437","169,567","138,629","493,052","604,313","438,056","1,714,158","630,758","1,269,363"
매장임차료,"636,271","634,945","641,644","522,702","533,213","829,368","829,368","829,368","829,368","829,368","835,374","938,353"
감가상각비,"82,617","82,617","82,617","63,126","63,126","99,038","99,038","99,038","99,038","99,038","99,038","141,538"
기타(직접비),"106,653","7,476","70,465","161,112","50,295","263,965","112,847","58,963","185,259","202,481","250,118","256,732"
급여(사무실),"1,211,325","1,825,802","469,675","1,261,903","1,260,144","1,381,491","1,378,919","1,383,003","1,433,287","1,406,771","1,405,817","1,405,306"
복리후생비(사무실),"350,571","375,391","370,733","366,226","344,050","384,281","428,054","397,792","407,539","414,939","398,539","424,539"
광고비,"2,604,835","2,257,633","2,995,034","3,699,215","2,586,884","2,428,215","2,212,845","3,162,666","2,001,666","4,489,931","3,452,236","3,351,261"
수주회,0,0,"300,000",0,0,0,0,0,0,"700,000",0,0
지급수수료,"66,878","8,200","89,250","159,850","254,970","109,250","152,637","92,017","187,637","84,917","159,137","45,517"
임차료,0,0,0,0,0,0,0,0,0,0,0,0
감가상각비(영업비),"6,031.88","6,043.08",5900.74,0,0,0,0,0,0,0,0,0
세금과공과,0,0,0,0,0,0,0,0,0,0,0,0
기타(영업비),"47,355","87,669","20,582","104,067","218,507","68,769","131,895","46,190","223,724","66,791","56,441","55,284"
