계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,"17,880,780","17,913,420","19,147,810","342,000",0,0,0,0,0,0,0,0
실판매출,"2,962,755","1,875,814","2,260,776","151,327",0,0,0,0,0,0,0,0
매출원가,"6,400,527","6,429,126","6,502,668","109,708",0,0,0,0,0,0,0,0
평가감,"-6,400,527","-6,429,090","-6,502,327","-109,708",0,0,0,0,0,0,0,0
급여(매장),"29,284","26,584","26,096","17,488",0,0,0,0,0,0,0,0
복리후생비(매장),"5,951","5,517","5,551","19,399",0,0,0,0,0,0,0,0
플랫폼수수료,"108,698","53,429",13266.44,0,0,0,0,0,0,0,0,0
TP수수료,"324,501","294,946",190656.55,0,0,0,0,0,0,0,0,0
직접광고비,"98,444","25,787",1774.14,0,0,0,0,0,0,0,0,0
대리상지원금,0,0,0,0,0,0,0,0,0,0,0,0
물류비,"99,087","67,538","58,426","67,413","67,361","67,304","67,304","67,304","67,304","67,304","67,304","67,304"
매장임차료,"457,016","456,892","469,808","462,102",0,0,0,0,0,0,0,0
감가상각비,"33,461","33,461","33,461","33,461","2,335","2,335","2,335","2,335","2,335","2,335","2,335","2,335"
기타(직접비),"7,432","14,097","27,326","87,531",0,"5,000",0,0,0,0,0,0
급여(사무실),"3,397",0,0,0,0,0,0,0,0,0,0,0
복리후생비(사무실),736,0,0,0,0,0,0,0,0,0,0,0
광고비,0,0,0,0,0,0,0,0,0,0,0,0
수주회,0,0,0,0,0,0,0,0,0,0,0,0
지급수수료,0,0,0,0,0,0,0,0,0,0,0,0
임차료,0,0,0,0,0,0,0,0,0,0,0,0
감가상각비(영업비),10.78,0,0,0,0,0,0,0,0,0,0,0
세금과공과,0,0,0,0,0,0,0,0,0,0,0,0
기타(영업비),21,0,0,0,0,0,0,0,0,0,0,0
