계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,"53,775,184","34,952,494","37,292,253","30,272,078","23,896,208","18,064,004","24,050,945","34,883,550","36,938,945","50,980,398","27,512,772","44,599,864"
실판매출,"25,682,590","17,348,986","16,815,920","14,745,085","13,027,594","9,141,035","10,968,846","16,227,449","16,734,266","25,233,029","13,682,528","21,598,089"
매출원가,"17,631,826","11,034,171","11,544,090","9,679,506","7,420,275","5,800,353","7,713,062","10,649,973","11,903,471","16,790,979","8,776,589","14,147,337"
평가감,"1,238,791","866,565","769,690","238,697","-149,053","229,219","-654,331","-1,057,053","-926,927","-1,707,445","-964,448","-1,378,512"
급여(매장),"789,429","1,126,646","412,161","681,101","805,489","568,421","462,132","577,722","601,048","920,799","531,182","657,539"
복리후생비(매장),"446,662","401,415","381,155","464,475","397,158","392,318","530,664","431,090","431,090","534,955","431,090","431,090"
플랫폼수수료,"496,058","365,585","394,910","444,925","344,173","419,958","185,347","273,444","382,758","685,424","617,197","418,313"
TP수수료,"429,834","370,169","257,223","325,108","241,317","377,462","135,338","176,668","239,238","504,702","599,491","329,234"
직접광고비,"911,737","430,805","638,121","557,063","795,935","469,575","216,643","392,761","455,314","1,625,236","847,543","626,133"
대리상지원금,"1,414,679","921,474","1,160,777","739,997","300,729","381,824","743,657","1,031,148","1,185,941","1,098,911","615,944","1,258,468"
물류비,"662,559","522,643","666,088","537,560","480,123","354,735","342,196","437,749","486,634","945,604","468,231","715,233"
매장임차료,"2,202,946","2,112,323","1,687,883","1,785,958","1,778,642","1,619,225","1,612,682","1,725,112","1,691,278","1,840,984","1,674,026","2,440,898"
감가상각비,"185,261","182,084","170,769","128,082","169,337","159,414","148,024","179,973","175,809","174,452","174,330","172,982"
기타(직접비),"196,553","169,743","150,383","334,302","258,133","217,949","149,013","274,397","172,536","270,270","190,912","307,311"
급여(사무실),"677,097","1,135,077","36,384","674,413","674,413","674,413","674,413","674,413","674,413","674,413","674,413","677,343"
복리후생비(사무실),"208,125","206,696","204,875","204,908","202,220","202,220","222,176","222,176","225,056","222,176","222,176","222,176"
광고비,"411,167","802,682","1,913,123","2,121,335","1,924,292","134,292","332,333","1,333,792","2,548,292","3,521,335","2,419,335","141,335"
수주회,"452,000",0,0,"60,000",0,0,"300,000",0,"60,000",0,0,0
지급수수료,"148,000",0,"36,900","17,875","17,875","96,875",0,0,0,0,0,0
임차료,0,0,0,0,0,0,0,0,0,0,0,0
감가상각비(영업비),"3,141.29","3,136.12","3,124.74","3,317.02","2,885.85","2,670.26","2,670.26","2,245.53","1,598.77","1,598.77","1,598.77","1,598.77"
세금과공과,0,0,0,0,0,0,0,0,0,0,0,0
기타(영업비),"9,117","3,722","23,176","44,832","35,025","43,584","38,590","25,777","61,570","27,025","48,577","45,012"
