계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,"1,417,659,509","874,744,851","933,103,745","864,403,858","568,608,285","291,032,288","706,324,266","1,018,831,020","1,005,792,859","983,810,440","595,231,558","913,623,809"
실판매출,"615,056,379","379,659,375","397,506,978","371,834,303","273,854,483","142,573,974","306,501,125","430,556,764","423,459,627","447,905,070","277,276,181","400,930,846"
매출원가,"431,653,287","267,437,486","280,785,695","242,490,642","172,877,750","88,719,117","211,494,545","307,279,248","304,613,068","309,938,658","181,137,237","281,137,417"
평가감,"16,783,698","17,847,228","16,398,180","7,447,096","1,190,196","7,987,070","-9,240,766","-7,227,349","-10,255,384","-14,389,664","-9,978,585","-7,037,564"
급여(매장),"3,307,798","4,328,895","1,899,178","2,985,319","3,375,007","2,731,226","2,286,040","2,344,297","2,753,024","3,862,148","2,603,271","2,762,993"
복리후생비(매장),"1,864,556","1,563,208","1,591,669","1,833,767","1,596,824","1,581,150","2,042,594","1,817,592","1,817,592","2,343,966","1,960,890","1,960,890"
플랫폼수수료,"6,180,978","3,619,250","4,750,722","4,351,234","5,268,326","3,896,207","2,953,485","3,487,943","4,112,379","7,173,271","8,526,301","6,117,047"
TP수수료,"6,136,392","4,967,381","4,761,759","5,138,076","6,207,503","4,546,914","3,382,216","3,301,693","4,778,382","7,204,690","10,581,586","6,419,804"
직접광고비,"9,090,189","28,295","7,905,902","4,394,815","13,477,204","7,776,560","3,847,823","5,089,368","7,546,396","24,227,085","13,803,540","9,070,851"
대리상지원금,"18,919,021","10,434,158","11,506,528","10,020,071","5,757,673","2,701,226","8,552,391","12,547,836","12,059,275","9,497,891","5,777,276","10,129,780"
물류비,"9,784,614","6,456,664","8,714,983","6,582,297","6,459,646","3,438,830","4,674,564","6,100,260","6,367,905","11,191,629","6,956,398","7,204,860"
매장임차료,"10,853,979","11,695,360","7,704,313","9,347,572","9,907,506","8,538,149","8,522,280","8,674,039","9,060,802","11,311,565","11,031,498","12,268,168"
감가상각비,"627,423","628,722","622,858","661,674","640,266","717,845","750,678","737,059","736,931","795,848","792,903","791,601"
기타(직접비),"941,990","1,167,630","3,786,054","1,374,673","1,542,924","1,885,700","906,670","1,271,512","1,026,681","2,295,991","1,197,787","1,381,535"
급여(사무실),"6,904,392","11,883,555","3,998,012","6,997,848","6,979,110","6,609,510","6,610,163","6,585,188","6,234,196","6,220,463","6,215,481","6,279,402"
복리후생비(사무실),"2,315,719","3,798,654","2,106,062","2,356,074","2,568,017","2,017,124","2,521,865","2,217,203","2,297,509","2,672,644","2,077,350","2,607,450"
광고비,"15,572,943","15,389,572","11,930,739","12,613,907","12,621,328","10,921,731","11,441,652","17,623,827","15,390,345","12,129,277","14,525,116","9,527,683"
수주회,"7,058,868",0,0,200000,0,0,0,"6,000,000",0,"200,000",0,0
지급수수료,"1,102,649","2,099,857","1,709,847","5,263,573","2,433,580","2,223,612","1,633,569","1,648,302","2,403,124","1,167,222","1,750,069","2,101,599"
임차료,"1,910,923","1,913,434","1,916,789","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464","1,912,464"
감가상각비(영업비),"379,015","377,566","375,927","376,279","371,171","369,403","367,225","362,427","353,846","356,092","355,285","353,191"
세금과공과,"390,769","203,668","1,820,521","160,748","431,320","140,592","2,451,029","752,463","686,371","2,030,803","2,272,612","4,513,172"
기타(영업비),"269,814","164,967","301,159","266,222","250,425","347,064","269,476","318,641","336,337","337,806","320,458","284,813"
