계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,"2,630,168","1,300,000","51,300,000","1,300,000","35,300,000","1,300,000",0,"34,000,000",0,"34,000,000",0,"34,000,000"
실판매출,"241,846","230,088","3,106,195","230,088","2,185,841","230,088",0,"1,955,752",0,"1,955,752",0,"1,955,752"
매출원가,"850,015","407,257","16,579,390","407,257","11,404,308","407,257",0,"10,997,051",0,"10,997,051",0,"10,959,271"
평가감,"-850,015","-407,257","-16,579,390","-407,257","-11,404,308","-407,257",0,"-10,997,051",0,"-10,997,051",0,"-10,959,271"
급여(매장),0,0,0,0,0,0,0,0,0,0,0,0
복리후생비(매장),0,0,0,0,0,0,0,0,0,0,0,0
플랫폼수수료,0,0,0,0,0,0,0,0,0,0,0,0
TP수수료,0,0,0,0,0,0,0,0,0,0,0,0
직접광고비,-0.02,0,0,0,0,0,0,0,0,0,0,0
대리상지원금,0,0,0,0,0,0,0,0,0,0,0,0
물류비,145180.51,118198.5302,86599.7881,85805.52975,64064.22242,63269.96407,63269.96407,42322.9151,42322.9151,21375.86612,21375.86612,469.1783186
매장임차료,0,0,0,0,0,0,0,0,0,0,0,0
감가상각비,0,0,0,0,0,0,0,0,0,0,0,0
기타(직접비),-4561.06,1376.124985,1625.554487,1880.289155,1679.797136,1700.361327,0,0,0,0,0,0
급여(사무실),,0,0,0,0,0,0,0,0,0,0,0
복리후생비(사무실),0,0,0,0,0,0,0,0,0,0,0,0
광고비,0,0,0,0,0,0,0,0,0,0,0,0
수주회,0,0,0,0,0,0,0,0,0,0,0,0
지급수수료,0,0,0,0,0,0,0,0,0,0,0,0
임차료,0,0,0,0,0,0,0,0,0,0,0,0
감가상각비(영업비),0,0,0,0,0,0,0,0,0,0,0,0
세금과공과,0,0,0,0,0,0,0,0,0,0,0,0
기타(영업비),0,0,0,0,0,0,0,0,0,0,0,0
