대분류,중분류,소분류, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 ,2026년계획(N-1)
영업활동,매출수금,MLB,535601330,454270989.7,486762313.9,579501574.1,587133307.8,385704620.4,179873164.6,405321196.3,255687823.9,371688738.1,613446359.8,483534911.7,5337771494
영업활동,매출수금,MLB KIDS,16427143.6,10019306.8,19894104.05,16782940.35,15940568.52,11960450.58,9333569.494,12801046.17,18356289.44,23125061.97,22607439.95,14801155.48,193507588.5
영업활동,매출수금,DISCOVERY,5696651.95,2063797.57,2256387.51,2026180.55,3366290.23,3756867.426,2934258.508,8557397.153,7943376.137,15046386.81,21765301.06,9587871.085,91183079.53
영업활동,매출수금,DUVETICA,596628.74,516598.51,285727.07,163961.37,0,0,0,0,0,0,0,0,1596784.82
영업활동,매출수금,SUPRA,19257.4,20228.2,4791619.54,5323,103231.5,2470000,260000,2210000,0,2210000,0,2210000,14559359.84
영업활동,물품대,본사,-309408187.5,-439278431.7,-203991631.7,-100211847.1,-35056094.81,-48535479.98,-129635515.3,-193493534.9,-423752005.7,-153004715.7,-60793019.11,-235756498.3,-2335369260
영업활동,물품대,현지,-16747252.96,-23117026.67,-58196529.12,-23429615.6,-14724901.52,-6650157.033,-22706298.68,-36851561.3,-28788680.35,-19138204.47,-15054500.52,-16621356.27,-278908123.2
영업활동,본사선급금,,0,0,0,0,-350000000,0,0,0,0,0,-350000000,0,-700000000
영업활동,비용,광고비,-35656878.66,-30576729.16,-28854037.45,-29010373.87,-8894540.39,-17058202.38,-16910183.5,-12976274.22,-13426643.62,-23218198.1,-18825564.07,-16387235.37,-258054396
영업활동,비용,온라인 플랫폼비용,-46968181.83,-12807502.58,-18573419.75,-32478140.33,-24497310.39,-18128917.14,-14893731.54,-13533393.39,-15510252.94,-35761472.63,-28477319.31,-29006176.23,-289568315.6
영업활동,비용,오프라인 매장비용,-29972892.07,-18225824.95,-25021644.18,-19307354.29,-18656693.57,-18728456.09,-17148036.53,-18003184.01,-20670812.49,-21992954.8,-25048525.21,-23018844.92,-258972069.6
영업활동,비용,수입증치세,-60898383.08,-58081732.8,-31652725.35,-17249951.73,-7928648.35,-6271046.088,-16602268.77,-50348269.37,-68906604.18,-19060487.58,-7305232.043,-19509290.52,-363236174.7
영업활동,비용,인건비,-10276885.28,-14821047.06,-26293396.58,-9173632.17,-9562588.37,-10101792.7,-10434628.65,-10124188.74,-9969198.056,-9916509.351,-10022169.21,-10405597.19,-142052956.6
영업활동,비용,보증금지급,0,0,0,0,0,-1500000,0,0,0,-1750000,0,0,-3250000
영업활동,비용,기타,-11389872.52,-5181148.6,-5372163.15,-36191530.17,-13191027.86,-5844007.805,-23902328.25,-22503394.98,-9554668.179,-35242686.55,-22743198.94,-23925871.81,-211506331.3
자산성지출,인테리어/VMD,,-2455463.5,-6646456.07,-4174405.42,-372718,-2586459.66,-1257161.742,-3954610.567,-1933167.238,-2253939.513,-1366346.815,-2793192.251,-522937.6147,-28612525.49
자산성지출,비품취득,,-273989.9,-533113.25,-3831347.96,-85770,-248418.8,-312975,-360369.9,-447562.152,-598212.2,-123940.688,-324070.9,-117072,-10516500.38
차입금,,,12400000,53600000,-45685077.55,-370000000,-160000000,-310000000,60000000,-60000000,310000000,-90000000,-130000000,-130000000,-869685077.6
기타수익,,,129875,54888.89,134157.89,198710.7,42145396.31,43571339.98,39890.41096,69808.21918,364065.3545,59835.61644,99726.0274,403421.3974,88253047.03
